[2026-06-26T05:32:30.198Z] GET http://localhost:3000/_next/static/chunks/node_modules_1o-_tq2._.js → 200 (19ms, ?B)
[2026-06-26T05:32:30.198Z] GET http://localhost:3000/_next/static/chunks/_0gthaef._.js → 200 (21ms, ?B)
[2026-06-26T05:32:30.198Z] GET http://localhost:3000/_next/static/chunks/node_modules_micromark-core-commonmark_dev_lib_2079wuz._.js → 200 (51ms, ?B)
[2026-06-26T05:32:30.198Z] GET http://localhost:3000/_next/static/chunks/node_modules_0jgd3pg._.js → 200 (51ms, ?B)
[2026-06-26T05:32:30.202Z] GET http://localhost:3000/_next/static/chunks/app_page_tsx_0_5hrkw._.js → 200 (47ms, ?B)
[2026-06-26T05:32:30.203Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_components_builtin_global-error_0_5hrkw.js → 200 (46ms, ?B)
[2026-06-26T05:32:30.246Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_1mojsay._.js → 200 (3ms, ?B)
[2026-06-26T05:32:30.246Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_1xch-cm._.js → 200 (4ms, ?B)
[2026-06-26T05:32:36.653Z] GET http://localhost:3000/ → pending (?ms, ?B)
[2026-06-26T05:32:36.653Z] GET http://localhost:3000/ → 200 (23ms, 6971B)
[2026-06-26T05:32:36.678Z] GET http://localhost:3000/_next/static/media/2a65768255d6b625-s.p.3u4lli0-axodc.woff2 → 200 (?ms, -300B)
[2026-06-26T05:32:36.678Z] GET http://localhost:3000/_next/static/media/83afe278b6a6bb3c-s.p.2bn3s6zvc0dyp.woff2 → 200 (?ms, -300B)
[2026-06-26T05:32:36.681Z] GET http://localhost:3000/_next/static/chunks/%5Broot-of-the-server%5D__0jcbqdd._.css → 304 (9ms, ?B)
[2026-06-26T05:32:36.681Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_1xx01vv._.js → 304 (10ms, ?B)
[2026-06-26T05:32:36.681Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_next-devtools_index_090k2jm.js → 304 (9ms, ?B)
[2026-06-26T05:32:36.681Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_react-dom_096_9a-._.js → 304 (10ms, ?B)
[2026-06-26T05:32:36.681Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_react-server-dom-turbopack_164kp-6._.js → 304 (11ms, ?B)
[2026-06-26T05:32:36.681Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_1amofcm._.js → 304 (11ms, ?B)
[2026-06-26T05:32:36.682Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0r5nbpw._.js → 304 (11ms, ?B)
[2026-06-26T05:32:36.682Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_1ybzpk2._.js → 304 (11ms, ?B)
[2026-06-26T05:32:36.682Z] GET http://localhost:3000/_next/static/chunks/node_modules_%40swc_helpers_cjs_1r9vbqw._.js → 304 (15ms, ?B)
[2026-06-26T05:32:36.682Z] GET http://localhost:3000/_next/static/chunks/_1anvha4._.js → 304 (15ms, ?B)
[2026-06-26T05:32:36.682Z] GET http://localhost:3000/_next/static/chunks/turbopack-_01_ro95._.js → 304 (15ms, ?B)
[2026-06-26T05:32:36.682Z] GET http://localhost:3000/_next/static/chunks/node_modules_02js8ti._.js → 304 (15ms, ?B)
[2026-06-26T05:32:36.682Z] GET http://localhost:3000/_next/static/chunks/lib_0ccwpid._.js → 200 (29ms, 5544B)
[2026-06-26T05:32:36.682Z] GET http://localhost:3000/_next/static/chunks/app_layout_tsx_007e4b2._.js → 304 (25ms, ?B)
[2026-06-26T05:32:36.682Z] GET http://localhost:3000/_next/static/chunks/node_modules_1o-_tq2._.js → 304 (26ms, ?B)
[2026-06-26T05:32:36.682Z] GET http://localhost:3000/_next/static/chunks/_0gthaef._.js → 304 (26ms, ?B)
[2026-06-26T05:32:36.682Z] GET http://localhost:3000/_next/static/chunks/node_modules_micromark-core-commonmark_dev_lib_2079wuz._.js → 304 (26ms, ?B)
[2026-06-26T05:32:36.682Z] GET http://localhost:3000/_next/static/chunks/node_modules_0jgd3pg._.js → 304 (26ms, ?B)
[2026-06-26T05:32:36.683Z] GET http://localhost:3000/_next/static/chunks/app_page_tsx_0_5hrkw._.js → 304 (30ms, ?B)
[2026-06-26T05:32:36.683Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_components_builtin_global-error_0_5hrkw.js → 304 (30ms, ?B)
[2026-06-26T05:32:36.703Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_1mojsay._.js → 304 (13ms, ?B)
[2026-06-26T05:32:36.703Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_1xch-cm._.js → 304 (13ms, ?B)
[2026-06-26T05:33:21.615Z] GET http://localhost:3000/_next/static/chunks/%5Broot-of-the-server%5D__0jcbqdd._.css → 200 (2ms, 7372B)
[2026-06-26T05:34:29.502Z] GET http://localhost:3000/ → 200 (30ms, 6969B)
[2026-06-26T05:34:29.555Z] GET http://localhost:3000/_next/static/media/2a65768255d6b625-s.p.3u4lli0-axodc.woff2 → 200 (?ms, -300B)
